Step,AgentID,Citizen Coordinates,Citizen Position,Health
0,Citizen_17472,"(28863.60165, 8687.79616)",351,13
0,Citizen_17473,"(28863.60165, 8687.79616)",351,13
0,Citizen_17474,"(28863.60165, 8687.79616)",351,13
0,Citizen_17475,"(28863.60165, 8687.79616)",351,13
0,Citizen_17476,"(28863.60165, 8687.79616)",351,13
0,Citizen_17477,"(28863.60165, 8687.79616)",351,13
0,Citizen_17478,"(28863.60165, 8687.79616)",351,13
0,Citizen_17479,"(28863.60165, 8687.79616)",351,13
0,Citizen_17480,"(28863.60165, 8687.79616)",351,13
0,Citizen_17481,"(28863.60165, 8687.79616)",351,13
0,Citizen_17482,"(28863.60165, 8687.79616)",351,13
0,Citizen_17483,"(28863.60165, 8687.79616)",351,13
0,Citizen_17484,"(28863.60165, 8687.79616)",351,13
0,Citizen_17485,"(28863.60165, 8687.79616)",351,13
0,Citizen_17486,"(28863.60165, 8687.79616)",351,13
0,Citizen_17487,"(28863.60165, 8687.79616)",351,13
0,Citizen_17488,"(28863.60165, 8687.79616)",351,13
0,Citizen_17489,"(28863.60165, 8687.79616)",351,13
0,Citizen_17490,"(28863.60165, 8687.79616)",351,13
0,Citizen_17491,"(28863.60165, 8687.79616)",351,13
0,Citizen_17492,"(28863.60165, 8687.79616)",351,13
0,Citizen_17493,"(28863.60165, 8687.79616)",351,13
0,Citizen_17494,"(28863.60165, 8687.79616)",351,13
0,Citizen_17495,"(28863.60165, 8687.79616)",351,13
0,Citizen_17496,"(28863.60165, 8687.79616)",351,13
0,Citizen_17497,"(28863.60165, 8687.79616)",351,13
0,Citizen_17498,"(28863.60165, 8687.79616)",351,13
0,Citizen_17499,"(28863.60165, 8687.79616)",351,13
0,Citizen_17500,"(28863.60165, 8687.79616)",351,13
0,Citizen_17501,"(28863.60165, 8687.79616)",351,13
0,Citizen_17502,"(28863.60165, 8687.79616)",351,13
0,Citizen_17503,"(28863.60165, 8687.79616)",351,13
0,Citizen_17504,"(28863.60165, 8687.79616)",351,13
0,Citizen_17505,"(28863.60165, 8687.79616)",351,13
0,Citizen_17506,"(28863.60165, 8687.79616)",351,13
0,Citizen_17507,"(28863.60165, 8687.79616)",351,13
0,Citizen_17508,"(28863.60165, 8687.79616)",351,13
0,Citizen_17509,"(28863.60165, 8687.79616)",351,13
0,Citizen_17510,"(28863.60165, 8687.79616)",351,13
0,Citizen_17511,"(28863.60165, 8687.79616)",351,13
0,Citizen_17512,"(28863.60165, 8687.79616)",351,13
0,Citizen_17513,"(28863.60165, 8687.79616)",351,13
0,Citizen_17514,"(28863.60165, 8687.79616)",351,13
0,Citizen_17515,"(28863.60165, 8687.79616)",351,13
0,Citizen_17516,"(28863.60165, 8687.79616)",351,13
0,Citizen_17517,"(28863.60165, 8687.79616)",351,13
0,Citizen_17518,"(28863.60165, 8687.79616)",351,13
0,Citizen_17519,"(28863.60165, 8687.79616)",351,13
0,Citizen_17520,"(28863.60165, 8687.79616)",351,13
0,Citizen_17521,"(28863.60165, 8687.79616)",351,13
0,Citizen_17522,"(28863.60165, 8687.79616)",351,13
0,Citizen_17523,"(28863.60165, 8687.79616)",351,13
0,Citizen_17524,"(28863.60165, 8687.79616)",351,13
0,Citizen_17525,"(28863.60165, 8687.79616)",351,13
0,Citizen_17526,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17527,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17528,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17529,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17530,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17531,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17532,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17533,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17534,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17535,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17536,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17537,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17538,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17539,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17540,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17541,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17542,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17543,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17544,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17545,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17546,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17547,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17548,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17549,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17550,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17551,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17552,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17553,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17554,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17555,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17556,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17557,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17558,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17559,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17560,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17561,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17562,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17563,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17564,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17565,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17566,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17567,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17568,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17569,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17570,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17571,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17572,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17573,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17574,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17575,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17576,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17577,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17578,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17579,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17580,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17581,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17582,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17583,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17584,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17585,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17586,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17587,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17588,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17589,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17590,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17591,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17592,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17593,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17594,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17595,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17596,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17597,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17598,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17599,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17600,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17601,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17602,"(24148.76535, 3056.12757)",13608,13
0,Citizen_17603,"(24148.76535, 3056.12757)",13608,13
