node,x,y
248,23662.42374,9718.29009
249,23647.29021,9741.75215
250,23642.10165,9749.79616
251,23584.04108,9843.4939
252,23570.53524,9865.28954
253,23569.60165,9866.79616
254,23545.35176,9904.62599
255,23516.74404,9949.25402
256,23507.09891,9964.30043
257,23494.60165,9983.79616
258,23481.35127,10004.5827
259,23814.04878,9487.26693
260,23608.72434,10102.27837
261,23601.60165,10123.29616
262,23590.86106,10156.79656
263,23575.77698,10203.84454
264,23569.75913,10222.61447
265,23552.33112,10276.97327
266,23517.60165,10385.29616
267,23457.69642,10567.00868
268,23442.60165,10612.79616
269,23305.60165,10998.29616
270,23276.60165,11079.29616
271,23226.60165,11217.29616
272,23169.60165,11387.79616
273,23805.31374,9540.1375
274,23804.10165,9543.79616
275,23783.10119,9602.62621
276,23740.68814,9721.44086
277,23731.10165,9748.29616
278,23717.14061,9788.03925
279,23685.17995,9879.02217
280,23662.60165,9943.29616
281,23640.19771,10009.40614
282,21724.60165,9869.79616
283,21717.60165,9853.79616
284,21713.10165,9836.79616
285,21712.10165,9824.79616
286,21712.10165,9812.79616
287,21716.60165,9795.79616
288,21721.60165,9782.29616
289,21726.10165,9775.79616
290,21740.10165,9761.79616
291,21756.60165,9751.79616
292,21794.60165,9732.29616
293,21821.10165,9718.29616
294,21843.10165,9698.29616
295,21859.60165,9674.79616
296,21871.10165,9649.79616
297,21876.10165,9627.79616
298,21896.10165,9599.29616
299,21898.64237,9587.61051
300,21899.81621,9559.30123
301,21868.70037,10208.07481
302,21867.71056,10193.96231
303,21864.46531,10183.46216
304,21859.10165,10159.29616
305,21857.10165,10153.29616
306,21851.10165,10138.79616
307,21840.10165,10113.79616
308,21827.60165,10085.79616
309,21785.60165,9993.29616
310,21740.60165,9902.79616
311,21166.07679,9626.46745
312,21171.60165,9677.29616
313,21202.91564,10016.02191
314,21212.60165,10120.79616
315,21228.60165,10276.29616
316,21229.96189,10291.53086
317,29548.72677,10488.18052
318,29587.60165,10338.79616
319,29591.56495,10323.84131
320,29625.10165,10197.29616
321,29636.10165,10162.79616
322,29639.10165,10154.79616
323,29641.60165,10150.29616
324,29649.10165,10138.29616
325,29651.60165,10135.29616
326,29664.10165,10120.29616
327,29678.10165,10108.29616
328,29683.10165,10103.79616
329,29691.10165,10099.79616
330,29705.10165,10092.79616
331,29723.10165,10086.79616
332,29729.70165,10084.59616
333,29750.60165,10082.79616
334,29757.10165,10082.79616
335,29783.60165,10085.29616
336,29809.60165,10091.29616
337,29875.10165,10107.29616
338,29514.60165,10623.29616
339,29543.10165,10509.79616
340,28965.60165,9600.29616
341,28944.2003,9579.77298
342,28905.24993,9559.9346
343,28872.10165,9548.79616
